scenario,timestamp_jitter,label_error_probability,common_contamination,heralded_cycle_retention,kl_per_retained_cycle,information_rate_per_original_time,total_variation,best_fourier_frequency,best_fourier_gap,fourier_pinsker_rate_per_original_time
ideal,0.0,0.0,0.0,1.0,0.04873586742238424,0.024460302053208514,0.07002733227406184,4.055,0.10786093479835968,0.0029195201670100205
mild_combined,0.01,0.01,0.01,0.9,0.044415485394360896,0.020062730416864513,0.06764048015582241,4.055,0.10414113131866178,0.002449459210273731
moderate_combined,0.03,0.05,0.05,0.7,0.03130212130378183,0.010997270957600891,0.05833231267765914,4.05,0.08972197006554525,0.0014140955703818322
severe_combined,0.08,0.1,0.1,0.5,0.018634138146919436,0.004676193034839865,0.04618805989914154,4.04,0.07103432891355144,0.0006331253283172838
jitter_sweep,0.005,0.0,0.0,1.0,0.04871956446593087,0.024452119676238514,0.07003212458231296,4.055,0.10785884043792857,0.0029194067901296243
jitter_sweep,0.01,0.0,0.0,1.0,0.04863517123596381,0.02440976311206065,0.07002638617940873,4.055,0.10782827167747043,0.0029177522201350925
jitter_sweep,0.02,0.0,0.0,1.0,0.04821873723284692,0.024200756849523348,0.06990673260089267,4.055,0.10761565085058027,0.002906256844424073
jitter_sweep,0.05,0.0,0.0,1.0,0.045386701742616234,0.022779371590981045,0.06878990414500381,4.045,0.10587568357270105,0.002813037841681478
jitter_sweep,0.1,0.0,0.0,1.0,0.03750557212217238,0.018823869796670018,0.0646379242969105,4.029999999999999,0.09965635307159114,0.0024922585812274297
jitter_sweep,0.2,0.0,0.0,1.0,0.020243266913875957,0.010160000210229236,0.05074986762750552,3.96,0.07860689624545329,0.0015506165581256226
label_error_sweep,0.0,0.01,0.0,1.0,0.04545812904471399,0.02281522061710004,0.06832463956241192,4.055,0.10522496431813524,0.002778565852596104
label_error_sweep,0.0,0.02,0.0,1.0,0.04259338702261335,0.02137742010443456,0.06664355477447728,4.055,0.10262262365672749,0.0026428307247275107
label_error_sweep,0.0,0.05,0.0,1.0,0.03535663295372936,0.01774532736100292,0.061727800335340983,4.055,0.09501350255782103,0.002265446320449571
label_error_sweep,0.0,0.1,0.0,1.0,0.026092454579039897,0.013095679918478327,0.05395304050355541,4.055,0.08298286722106067,0.0017280646762196429
label_error_sweep,0.0,0.2,0.0,1.0,0.013793286672124143,0.006922785540730737,0.03996479285127146,4.06,0.061348554077861946,0.0009444778612648676
label_error_sweep,0.0,0.3,0.0,1.0,0.00666646155515069,0.003345865619910837,0.02805340564351768,4.0649999999999995,0.04294262506771325,0.0004627647798174699
contamination_sweep,0.0,0.0,0.01,1.0,0.047633638030103856,0.02390709831860709,0.0693270589513212,4.055,0.1067823254503761,0.002861421715686522
contamination_sweep,0.0,0.0,0.02,1.0,0.04656715239395409,0.02337183420666374,0.06862678562858067,4.055,0.10570371610239253,0.002803907168396426
contamination_sweep,0.0,0.0,0.05,1.0,0.04351747390116868,0.021841214951399533,0.06652596566035875,4.055,0.10246788805844166,0.0026348669507265422
contamination_sweep,0.0,0.0,0.1,1.0,0.038807927283445884,0.019477515711068448,0.06302459904665564,4.055,0.0970748413185237,0.002364811335278116
contamination_sweep,0.0,0.0,0.2,1.0,0.03045232801849583,0.01528387983946449,0.05602186581924951,4.055,0.08628874783868776,0.0018684929068864139
contamination_sweep,0.0,0.0,0.4,1.0,0.017120553657458754,0.008592725151481828,0.042016399364437074,4.055,0.06471656087901577,0.0010510272601236062
retention_sweep,0.0,0.0,0.0,0.9,0.04873586742238424,0.02201427184788766,0.07002733227406184,4.055,0.10786093479835968,0.0026275681503090185
retention_sweep,0.0,0.0,0.0,0.8,0.04873586742238424,0.019568241642566812,0.07002733227406184,4.055,0.10786093479835968,0.0023356161336080166
retention_sweep,0.0,0.0,0.0,0.7,0.04873586742238424,0.017122211437245956,0.07002733227406184,4.055,0.10786093479835968,0.0020436641169070146
retention_sweep,0.0,0.0,0.0,0.5,0.04873586742238424,0.012230151026604257,0.07002733227406184,4.055,0.10786093479835968,0.0014597600835050102
retention_sweep,0.0,0.0,0.0,0.3,0.04873586742238424,0.007338090615962554,0.07002733227406184,4.055,0.10786093479835968,0.0008758560501030061
