classical_states,phases_per_macrostate,hidden_cycle_affinity,reverse_fraction,reset_mixing,asymptotic_kl_rate,work_total_ep_rate,thermal_total_ep_rate,total_ep_rate,work_medium_entropy_rate,thermal_medium_entropy_rate,medium_total_rate,stationary_balance_error,minimum_stationary_probability,forward_rates,iterations,objective_evaluations
5,2,0.0,1.0,1.0,0.05776610616671846,0.004297767406784716,0.02645274972767996,0.030750517134464674,0.0,0.030750517134464743,0.030750517134464743,-6.938893903907228e-17,0.06857976448840995,3.22528690352 2.70491091355 2.59047417276 2.70490939131,173,373
7,3,0.0,1.0,1.0,0.05776676283021928,0.004297419290833546,0.026453432084829268,0.030750851375662813,0.0,0.030750851375662594,0.030750851375662594,2.185751579730777e-16,0.04567458989785591,100 100 4.09443040318 100 100 4.09453828907,220,374
9,4,0.0,1.0,1.0,0.05776911369764232,0.0042962169058691595,0.02645578346836827,0.03075200037423743,0.0,0.030752000374237618,0.030752000374237618,-1.8735013540549517e-16,0.0342393840448628,100 42.7382061891 100 5.56127669819 100 49.5248907331 100 5.56164415669,220,372
11,5,0.0,1.0,1.0,0.05777623877957748,0.004297686473634727,0.026450583984634124,0.03074827045826885,0.0,0.030748270458269056,0.030748270458269056,-2.0469737016526324e-16,0.027347505773329072,100 77.6817921163 100 100 8.02675785673 100 100 64.3927642746 100 6.30831062275,220,335
13,6,0.0,1.0,1.0,0.057785728405562384,0.004288141066983815,0.026471608290901553,0.03075974935788537,0.0,0.030759749357885422,0.030759749357885422,-5.204170427930421e-17,0.022771668618814668,100 100 42.9538636986 100 100 8.94361485242 100 100 72.877827937 100 100 8.92077135812,220,334
15,7,0.0,1.0,1.0,0.05780533150946792,0.004275416754422721,0.026498292410091103,0.030773709164513822,0.0,0.030773709164513396,0.030773709164513396,4.2674197509029455e-16,0.019482628089788106,100 100 94.6666799979 100 100 100 11.2759689939 100 100 100 90.247187387 100 100 10.7258786725,220,337
17,8,0.0,1.0,1.0,0.057836201818728485,0.00426775047594051,0.02651053088237434,0.03077828135831485,0.0,0.030778281358315247,0.030778281358315247,-3.95516952522712e-16,0.01702378146616295,100 100 100 92.1258937086 100 100 100 13.4218998019 100 100 100 85.3387255266 100 100 100 13.3976540981,220,356
19,9,0.0,1.0,1.0,0.05788373322898,0.004248198479643849,0.026548578050069407,0.030796776529713257,0.0,0.030796776529713615,0.030796776529713615,-3.5735303605122226e-16,0.015098312339155342,100 100 100 100 98.2007153774 100 100 100 16.6902209786 100 100 100 100 96.8942209899 100 100 100 16.1648882696,220,363
21,10,0.0,1.0,1.0,0.057951799021360086,0.004223631586822531,0.026595141842606786,0.030818773429429316,0.0,0.030818773429429437,0.030818773429429437,-1.214306433183765e-16,0.013565448664176652,100 100 100 100 99.7872292693 100 100 100 100 20.4077167791 100 100 100 100 97.6190450759 100 100 100 100 20.1974802459,220,372
5,2,60.0,3.059023205018258e-07,1.0,0.05203964648937703,12.288292008339612,0.03960906544825137,12.327901073787864,12.292898801156001,0.03500227263186286,12.327901073787864,-4.649058915617843e-16,0.05677505669558227,2.25702229449 3.27434182569 2.71226129293 3.35254623659,204,332
