classical_states,phases_per_macrostate,hidden_cycle_affinity,reverse_fraction,reset_mixing,asymptotic_kl_rate,work_total_ep_rate,thermal_total_ep_rate,total_ep_rate,work_medium_entropy_rate,thermal_medium_entropy_rate,medium_total_rate,stationary_balance_error,minimum_stationary_probability,forward_rates,iterations,objective_evaluations
5,2,20.0,0.006737946999085467,1.0,0.05215388997817281,4.0663163394823325,0.03957679384504785,4.10589313332738,4.070895000445496,0.03499813288188373,4.10589313332738,2.983724378680108e-16,0.05679804098170293,2.25240272945 3.27889439637 2.71270028849 3.35927840904,193,319
7,3,20.0,0.035673993347252395,1.0,0.04719290778053393,3.3190414380433593,0.06270218498879715,3.3817436230321563,3.3469620611095117,0.034781561922644644,3.3817436230321563,-5.551115123125783e-17,0.030670486062625055,2.20944506058 5.22118286275 4.22186611503 2.37612058942 6.35065463192 4.23986112227,220,366
9,4,20.0,0.0820849986238988,1.0,0.0442855241191943,3.270036530985319,0.06636377229302172,3.336400303278341,3.301667423020746,0.03473288025759399,3.33640030327834,8.118505867571457e-16,0.021392175661945234,2.90155468689 6.25506018947 7.28821325431 5.10921253091 2.77270706311 8.82746406411 7.9227516905 5.06738892033,220,356
11,5,20.0,0.1353352832366127,1.0,0.04266905401264333,3.3207074726063963,0.061565992748746926,3.3822734653551434,3.3474770290298337,0.03479643632531041,3.3822734653551443,-7.008282842946301e-16,0.018617879551665446,4.24226777434 6.53490387563 9.67191716881 9.10456019529 6.07338873173 3.45760161144 9.89293218748 11.8920101549 9.38251182446 6.02632946114,220,356
13,6,20.0,0.18887560283756183,1.0,0.041675139311705765,3.3671654827296202,0.05685701148543832,3.4240224942150586,3.388974825855228,0.03504766835983091,3.424022494215059,-2.706168622523819e-16,0.0147165134309536,6.45737477067 6.65184828253 11.0601328886 12.5184210645 10.7694804888 7.30412278453 4.51337866234 9.72046335494 15.3128677905 14.1092232237 10.9051482976 7.12317306634,220,357
15,7,20.0,0.2396510364417758,1.0,0.04098262928415705,3.380635325022404,0.054255759628836345,3.43489108465124,3.3997728971188805,0.03511818753235952,3.43489108465124,1.0408340855860843e-16,0.013374913826135829,9.16366755861 7.27171541406 11.4538220218 15.2091958875 15.2692257388 12.7818274843 8.70361760523 6.20997643406 8.88624715596 16.5657171071 18.8946051162 16.5740698574 12.8252484236 8.34086565507,220,352
17,8,20.0,0.2865047968601901,1.0,0.040468583466003946,3.394426474637326,0.05411105969776094,3.448537534335087,3.41340761951084,0.03512991482424709,3.448537534335087,-1.0408340855860843e-16,0.011386434203578691,12.4683970216 8.17806486807 12.1084347153 17.0068780677 19.4522787403 17.7031485612 14.7641666121 10.2012905994 8.94319467244 8.57174348824 17.5710928766 22.9402013824 21.7115096331 19.3407205999 14.8952553922 9.51320297508,220,350
19,9,20.0,0.32919298780790557,1.0,0.040084352057606874,3.3939500105550047,0.054342089332063276,3.448292099887068,3.4129606289486376,0.03533147093842909,3.4482920998870665,1.1657341758564144e-15,0.009945886543988341,16.6959985859 9.89514786864 12.5377378053 17.5733732362 22.2379161573 22.4401479519 20.6199814057 17.0985849586 11.6026863078 11.681703562 9.08421092948 17.3649456839 26.3486838954 27.6569832089 25.4733942273 21.406947863 16.9255804707 10.9751737058,220,352
21,10,20.0,0.36787944117144233,1.0,0.039800722612157745,3.38071075459292,0.054902203143310416,3.43561295773623,3.4007568828416312,0.03485607489459964,3.435612957736231,-6.730727086790012e-16,0.008699305067246635,20.8692769736 11.8689048185 13.3387890666 19.2372302624 23.7525618639 27.7052335344 25.7749566228 22.9952587529 19.5571397507 13.3348795403 15.2797851529 9.500524688 16.915822961 28.1505642062 35.667636811 30.7560078314 29.0097514549 24.214156939 19.2056226294 12.055823449,220,336
5,2,40.0,4.5399929762484854e-05,1.0,0.052040417354020214,8.190296400343154,0.039608658539187686,8.229905058882341,8.194902872469143,0.03500218641319804,8.229905058882341,1.457167719820518e-16,0.05677534674430913,2.25699777408 3.27436278518 2.71224969453 3.35259812097,205,335
7,3,40.0,0.0012726338013398079,1.0,0.0462714961994438,6.8407432794800105,0.06282891479000242,6.903572194270013,6.868758478055466,0.034813716214546576,6.903572194270013,4.0939474033052647e-16,0.03090594830554158,2.22674409723 5.03614494439 4.18536337576 2.39345503835 6.08909027247 4.17191173493,220,347
9,4,40.0,0.006737946999085467,1.0,0.04184709607861591,6.804281405835153,0.06812516783268975,6.872406573667843,6.837654488642945,0.034752085024896684,6.872406573667842,7.771561172376096e-16,0.02137638579862371,2.79994451843 6.10586227259 6.55658047213 4.99521360835 2.74447927618 8.26132641419 7.12456941774 4.86719494111,220,353
11,5,40.0,0.01831563888873418,1.0,0.03855326319462536,6.895797504345592,0.06683589611697721,6.962633400462569,6.9278385487884195,0.034794851674149606,6.962633400462569,3.469446951953614e-17,0.018211753700309717,3.59752934269 6.75603847918 8.59420216617 7.73578437713 5.78585682311 3.26094725546 9.44914299387 10.2239557435 8.02047800783 5.60559171341,220,361
13,6,40.0,0.035673993347252395,1.0,0.03609955556994094,6.966520507080367,0.06506488855035297,7.03158539563072,6.996736585036913,0.03484881059380788,7.031585395630722,-1.366962099069724e-15,0.014494005360779967,4.52352248844 7.29219916078 10.087577358 10.4083759267 8.82012489383 6.64759482408 3.8610860189 10.0055587182 13.0031749943 11.5812535977 8.91480362253 6.37016640995,220,364
15,7,40.0,0.05743261926761735,1.0,0.034261558214367036,7.014486834972109,0.06323501146896014,7.077721846441069,7.042856284920962,0.034865561520108404,7.0777218464410705,-1.6237011735142914e-15,0.012256221309302122,5.59383387801 7.79920100161 11.2997614663 12.6912374595 11.960400809 9.94032563072 7.56249580024 4.58708773742 9.93873150661 15.244877783 15.1131394631 12.8233284772 9.83501881834 7.22139045547,220,366
17,8,40.0,0.0820849986238988,1.0,0.03286612950207612,7.049851707005468,0.06137739043828869,7.111229097443757,7.076226111395713,0.03500298604804436,7.111229097443758,-7.216449660063518e-16,0.010811406273730298,6.96546375414 8.32635937325 11.9091076575 14.5192791761 14.7610082544 13.4914713483 11.0614846171 8.56883675334 5.51366120845 9.9812409484 15.7535783421 18.656231135 17.1278775206 14.0909847252 10.9231848309 8.06475985612,220,374
19,9,40.0,0.10836802322189586,1.0,0.031788638447740304,7.0727899507100025,0.0617732908743392,7.134563241584342,7.099689222372611,0.03487401921173205,7.134563241584343,-8.81239525796218e-16,0.00918027356564527,8.43988762753 8.87733237568 12.4957348213 16.5336146131 17.4889630343 16.9833280845 15.220993369 12.3929268289 9.55674570396 6.44320069971 10.0738717102 16.4169787097 21.9865169095 21.7937925535 18.7444470529 14.9224324328 11.7707197207 9.13034026927,220,370
21,10,40.0,0.1353352832366127,1.0,0.03094176414508679,7.071598565355564,0.06030896497767459,7.131907530333239,7.096882534651306,0.03502499568193488,7.131907530333241,-2.4771851236948805e-15,0.008767214359387836,9.94543480483 9.77527506799 13.1490601332 16.7361394328 19.5115029258 21.1817632997 19.0468130371 16.3278981175 13.498175126 10.8832488824 7.64258753366 10.3655821115 16.7988143784 22.9149524056 24.8285228318 22.0315015175 19.9939987987 17.1659118321 13.146626716 10.185336928,220,362
