anchor,evaluated_candidate,frequency,expectation_gap,pinsker_rate,is_anchor
N11_A20,N11_A20,4.0548,0.16364578795672605,0.006720363787471429,1
N11_A20,N21_A20,4.0548,0.15572168737052405,0.006085290589412166,0
N11_A20,N31_A20,4.0548,0.1536851654202334,0.0059271650050374425,0
N11_A20,N11_A40,4.0548,0.15220057380659363,0.00581320581526118,0
N11_A20,N21_A40,4.0548,0.1300518989953673,0.004244402053260027,0
N11_A20,N31_A40,4.0548,0.12281722354617697,0.0037853119035325677,0
N11_A20,N11_A60,4.0548,0.1505399136612659,0.00568704212348949,0
N11_A20,N21_A60,4.0548,0.12009688079239478,0.0036194832864783386,0
N11_A20,N31_A60,4.0548,0.10778706391056335,0.002915522543685252,0
N21_A20,N11_A20,4.0548,0.16364303351256765,0.00672013755847742,0
N21_A20,N21_A20,4.0548,0.1557243044254523,0.006085495129625129,1
N21_A20,N31_A20,4.0548,0.15368930351027008,0.005927484196191541,0
N21_A20,N11_A40,4.0548,0.15219904026574088,0.005813088670582044,0
N21_A20,N21_A40,4.0548,0.1300489145547186,0.004244207253787332,0
N21_A20,N31_A40,4.0548,0.12281412930674693,0.0037851211727300766,0
N21_A20,N11_A60,4.0548,0.15053823496985558,0.005686915290209173,0
N21_A20,N21_A60,4.0548,0.12009199108663102,0.0036191885602892392,0
N21_A20,N31_A60,4.0548,0.10777978703090588,0.002915128893654178,0
N31_A20,N11_A20,4.0548,0.16364110678222601,0.006719979313834409,0
N31_A20,N21_A20,4.0548,0.15572405286432628,0.0060854754683041,0
N31_A20,N31_A20,4.0548,0.15368955164258838,0.005927503336125799,1
N31_A20,N11_A40,4.0548,0.15219673112876897,0.005812912281609821,0
N31_A20,N21_A40,4.0548,0.13004600926701698,0.004244017625054994,0
N31_A20,N31_A40,4.0548,0.12281117385414814,0.003784939001319206,0
N31_A20,N11_A60,4.0548,0.15053578979851046,0.005686730548181607,0
N31_A20,N21_A60,4.0548,0.12008806937850806,0.003618952188666152,0
N31_A20,N31_A60,4.0548,0.10777524074985242,0.0029148829715548857,0
N11_A40,N11_A20,4.0548,0.16363209633494796,0.006719239299867291,0
N11_A40,N21_A20,4.0548,0.15570967226901028,0.006084351573598688,0
N11_A40,N31_A20,4.0548,0.15367278656503322,0.005926210214609594,0
N11_A40,N11_A40,4.0548,0.15221333622236605,0.005814180761127217,1
